其他,未知,18,F,7230.0,527
其他,未知,18,M,5753.0,436
其他,未知,19,F,8402.0,662
其他,未知,19,M,11703.5,699
其他,未知,20,F,11136.0,563
其他,未知,20,M,9315.5,729
其他,未知,21,F,7645.0,769
其他,未知,21,M,6892.5,671
其他,未知,22,F,9510.5,576
其他,未知,22,M,9392.0,518
其他,未知,23,F,6205.5,498
其他,未知,23,M,12601.5,810
其他,未知,24,F,8633.5,557
其他,未知,24,M,13151.5,887
其他,未知,25,F,7231.0,766
其他,未知,25,M,7878.5,468
其他,未知,26,F,3934.5,533
其他,未知,26,M,5564.5,482
其他,未知,27,F,7424.0,745
其他,未知,27,M,13609.5,642
其他,未知,28,F,6180.0,497
其他,未知,28,M,11289.5,752
其他,未知,29,F,7981.0,440
其他,未知,29,M,8394.0,563
其他,未知,30,F,8348.0,963
其他,未知,30,M,10117.0,791
其他,未知,31,F,9230.0,673
其他,未知,31,M,7040.5,675
其他,未知,32,F,10599.5,707
其他,未知,32,M,8601.0,705
其他,未知,33,F,13480.0,963
其他,未知,33,M,9105.5,598
其他,未知,34,F,12966.5,741
其他,未知,34,M,5089.0,444
其他,未知,35,F,10067.0,742
其他,未知,35,M,6916.0,478
其他,未知,36,F,2651.0,420
其他,未知,36,M,7866.5,537
其他,未知,37,F,4438.5,364
其他,未知,37,M,6532.0,593
其他,未知,38,F,10025.0,730
其他,未知,38,M,10263.5,925
其他,未知,39,F,12565.5,717
其他,未知,39,M,5755.0,542
其他,未知,40,F,10830.0,781
其他,未知,40,M,8847.0,687
其他,未知,41,F,6049.5,491
其他,未知,41,M,12734.5,829
其他,未知,42,F,10922.0,712
其他,未知,42,M,5267.5,456
其他,未知,43,F,17308.5,737
其他,未知,43,M,11260.0,600
其他,未知,44,F,4956.0,563
其他,未知,44,M,10622.5,837
其他,未知,45,F,11756.5,790
其他,未知,45,M,7665.0,611
其他,未知,46,F,8568.5,542
其他,未知,46,M,7856.5,571
其他,未知,47,F,8929.5,749
其他,未知,47,M,7559.0,621
广东,广州,18,F,803.0,69
广东,广州,22,F,1319.0,28
广东,广州,24,F,188.5,32
广东,广州,27,M,1299.0,32
广东,广州,28,F,114.0,40
广东,广州,32,M,84.0,35
广东,广州,33,F,164.5,57
广东,广州,36,M,705.5,40
广东,广州,38,M,726.5,41
广东,广州,41,F,827.0,60
浙江,杭州,18,M,122.0,32
浙江,杭州,19,F,123.0,36
浙江,杭州,19,M,218.5,38
浙江,杭州,23,M,117.0,37
浙江,杭州,26,F,197.0,51
浙江,杭州,27,F,683.5,27
浙江,杭州,28,F,114.5,40
浙江,杭州,30,M,201.0,36
浙江,杭州,32,F,769.0,46
浙江,杭州,35,M,139.0,36
浙江,杭州,36,M,174.0,38
浙江,杭州,37,F,921.5,71
浙江,杭州,38,M,1269.0,33
浙江,杭州,39,F,480.0,82
浙江,杭州,39,M,1748.5,100
浙江,杭州,42,F,734.5,30
浙江,杭州,42,M,353.5,90
浙江,杭州,46,F,214.5,70
浙江,杭州,46,M,107.5,42
